No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station
1,2013,3,1,0,4.0,4.0,3.0,2.0,200.0,82.0,-2.3,1020.8,-19.7,0.0,E,0.5,Dingling
2,2013,3,1,1,7.0,7.0,3.0,2.0,200.0,80.0,-2.5,1021.3,-19.0,0.0,ENE,0.7,Dingling
3,2013,3,1,2,5.0,5.0,3.0,2.0,200.0,79.0,-3.0,1021.3,-19.9,0.0,ENE,0.2,Dingling
4,2013,3,1,3,6.0,6.0,3.0,2.0,200.0,79.0,-3.6,1021.8,-19.1,0.0,NNE,1.0,Dingling
5,2013,3,1,4,5.0,5.0,3.0,2.0,200.0,81.0,-3.5,1022.3,-19.4,0.0,N,2.1,Dingling
6,2013,3,1,5,6.0,6.0,3.0,4.0,200.0,79.0,-4.5,1022.6,-19.5,0.0,NNW,1.7,Dingling
7,2013,3,1,6,5.0,10.0,3.0,4.0,200.0,77.0,-4.5,1023.4,-19.5,0.0,NNW,1.8,Dingling
8,2013,3,1,7,5.0,6.0,3.0,2.0,200.0,80.0,-2.1,1024.6,-20.0,0.0,NW,2.5,Dingling
9,2013,3,1,8,8.0,7.0,3.0,3.0,200.0,79.0,-0.2,1025.2,-20.5,0.0,NNW,2.8,Dingling
10,2013,3,1,9,8.0,8.0,3.0,2.0,200.0,81.0,0.6,1025.3,-20.4,0.0,NNW,3.8,Dingling
11,2013,3,1,10,8.0,8.0,3.0,2.0,200.0,83.0,2.0,1025.1,-21.3,0.0,N,2.2,Dingling
12,2013,3,1,11,3.0,2.0,3.0,2.0,200.0,83.0,3.6,1024.8,-20.7,0.0,NNE,2.7,Dingling
13,2013,3,1,12,6.0,2.0,3.0,2.0,200.0,85.0,4.8,1023.8,-19.7,0.0,N,3.0,Dingling
14,2013,3,1,13,7.0,7.0,3.0,2.0,200.0,84.0,5.8,1022.8,-20.6,0.0,NE,4.4,Dingling
15,2013,3,1,14,6.0,7.0,3.0,2.0,200.0,89.0,5.9,1022.6,-20.5,0.0,N,3.6,Dingling
16,2013,3,1,15,10.0,10.0,3.0,2.0,200.0,88.0,6.0,1022.6,-20.4,0.0,N,3.2,Dingling
17,2013,3,1,16,3.0,6.0,3.0,2.0,200.0,87.0,5.4,1022.8,-20.0,0.0,NE,2.2,Dingling
18,2013,3,1,17,5.0,5.0,3.0,2.0,200.0,87.0,3.5,1023.4,-20.8,0.0,ENE,2.0,Dingling
19,2013,3,1,18,5.0,6.0,3.0,2.0,200.0,85.0,2.7,1024.2,-20.0,0.0,NE,3.6,Dingling
20,2013,3,1,19,14.0,6.0,3.0,2.0,200.0,83.0,2.0,1025.1,-19.3,0.0,ENE,1.7,Dingling
21,2013,3,1,20,6.0,7.0,3.0,2.0,200.0,83.0,1.1,1025.9,-18.3,0.0,NE,1.7,Dingling
22,2013,3,1,21,9.0,7.0,3.0,2.0,200.0,82.0,1.6,1026.7,-17.4,0.0,E,2.3,Dingling
23,2013,3,1,22,6.0,5.0,3.0,2.0,200.0,79.0,0.4,1027.2,-17.4,0.0,E,0.0,Dingling
24,2013,3,1,23,6.0,9.0,3.0,2.0,300.0,72.0,0.3,1027.0,-16.6,0.0,NE,1.5,Dingling
25,2013,3,2,0,4.0,7.0,3.0,2.0,200.0,74.0,-0.5,1027.4,-16.4,0.0,SW,3.0,Dingling
26,2013,3,2,1,6.0,6.0,3.0,2.0,200.0,75.0,-1.8,1027.9,-16.7,0.0,SSW,0.9,Dingling
27,2013,3,2,2,7.0,2.0,13.0,39.0,800.0,36.0,-1.7,1027.7,-17.4,0.0,SSW,1.5,Dingling
28,2013,3,2,3,28.0,47.0,21.0,71.0,1200.0,6.0,-2.5,1027.7,-17.4,0.0,SW,1.7,Dingling
29,2013,3,2,4,31.0,65.0,25.0,71.0,1200.0,5.0,-3.4,1027.5,-17.0,0.0,NW,0.8,Dingling
30,2013,3,2,5,39.0,55.0,22.0,70.0,1200.0,2.0,-3.5,1026.9,-16.8,0.0,N,0.5,Dingling
31,2013,3,2,6,41.0,45.0,16.0,65.0,1000.0,4.0,-3.5,1026.1,-15.8,0.0,NNE,0.9,Dingling
32,2013,3,2,7,52.0,32.0,13.0,56.0,800.0,8.0,-3.3,1026.7,-14.4,0.0,NNW,0.9,Dingling
33,2013,3,2,8,36.0,18.0,16.0,52.0,900.0,12.0,-2.0,1026.4,-15.1,0.0,NNE,1.0,Dingling
34,2013,3,2,9,27.0,41.0,18.0,43.0,900.0,20.0,-0.2,1026.3,-16.6,0.0,WSW,0.5,Dingling
35,2013,3,2,10,29.0,38.0,20.0,35.0,600.0,42.0,0.6,1025.8,-17.2,0.0,SW,1.3,Dingling
